feature,outliers,outlier_pct,lower_bound,upper_bound
Current Ratio,589,8.64,-0.005516675454990976,0.02934125010530403
Working capitcal Turnover Rate,578,8.48,0.5938325356925755,0.5941042313358316
Cash flow rate,576,8.45,0.44738850725111823,0.4851731628964203
Net Income to Stockholder's Equity,571,8.37,0.8367515550974427,0.8457202190075144
Net Income to Total Assets,561,8.23,0.752192828671619,0.871011550062423
ROA(A) before interest and % after tax,561,8.23,0.45512156563454,0.66957860880942
Equity to Liability,549,8.05,-0.018064992261722153,0.09537950329196385
Cash Flow Per Share,532,7.8,0.3014341798118408,0.34493704463464675
Net Worth Turnover Rate (times),513,7.52,-0.009919354838709652,0.07459677419354835
Per Share Net profit before tax (Yuan ¥),511,7.49,0.135685772388342,0.22817654590645398
Persistent EPS in the Last Four Seasons,508,7.45,0.17854779237968998,0.274983454665786
Cash/Total Assets,496,7.27,-0.1577516746955116,0.35236804779863734
Current Liabilities/Equity,480,7.04,0.321755997002642,0.338662249493938
Current Liability to Equity,480,7.04,0.321755997002642,0.338662249493938
Revenue Per Share (Yuan ¥),478,7.01,-0.030457371024093717,0.09244596699789767
Net profit before tax/Paid-in capital,476,6.98,0.136030465274112,0.22495286931603997
Net Value Per Share (C),465,6.82,0.1347709746744773,0.23851712949306725
Net Value Per Share (A),464,6.8,0.1346761619822165,0.2385065947494845
Total income/Total expense,463,6.79,0.0018512138450686745,0.0028762334839728754
Net Value Per Share (B),457,6.7,0.1346761619822165,0.2385065947494845
Operating profit/Paid-in capital,446,6.54,0.06637069063787526,0.14566132525607806
Operating Profit Per Share (Yuan ¥),442,6.48,0.06597589772819773,0.14626251933881657
ROA(B) before interest and depreciation after tax,432,6.34,0.4420338347877305,0.6693479308314144
Inventory/Current Liability,426,6.25,-0.008812280935537476,0.023122195358426727
Inventory and accounts receivable/Net value,421,6.17,0.38668054173035976,0.41527290825711377
Total debt/Total net worth,407,5.97,-0.006392316180158423,0.018672657966970173
Equity to Long-term Liability,406,5.95,0.10167394754523099,0.126365377193863
Liability to Equity,404,5.92,0.2701868282025828,0.2882066000525727
Interest-bearing debt interest rate,396,5.81,-0.00029127912791275,0.00102685268526845
ROA(C) before interest and depreciation before interest,391,5.73,0.38797348023204903,0.624116413981377
Total expense/Assets,372,5.46,-0.01747756536972111,0.06797475985425691
Total Asset Turnover,351,5.15,-0.07421289355322326,0.32758620689655155
CFO to Assets,342,5.02,0.47781403676336315,0.712941779195351
Borrowing dependency,321,4.71,0.36101350308555746,0.38542507767014156
Operating Gross Margin,320,4.69,0.5802404185704608,0.6341183931737269
Gross Profit to Sales,320,4.69,0.5802373314585432,0.6341188347859092
Realized Sales Gross Margin,318,4.66,0.5803214949768662,0.6339544386629963
Current Liability to Current Assets,276,4.05,-0.012477759511372349,0.06888604107352725
Average Collection Days,193,2.83,-0.002492987272486623,0.015852393293398773
Research and development expense rate,182,2.67,-5174999999.99968,8624999999.999807
Working Capital/Equity,153,2.24,0.7261896805426205,0.7459820486005444
Tax rate (A),120,1.76,-0.3087610081992105,0.5146016803320175
Current Liability to Assets,95,1.39,-0.04603129912423975,0.21885556902578784
Working Capital to Total Assets,75,1.1,0.6601981340930603,0.9644936772113024
Fixed Assets to Assets,62,0.91,-0.3448990544226539,0.8024593978772011
Current Liability to Liability,40,0.59,0.15441187500457776,1.4145955849173637
Current Liabilities/Liability,40,0.59,0.15441187500457776,1.4145955849173637
Net worth/Assets,30,0.44,0.7373250294766753,1.0409801372554954
Debt ratio %,30,0.44,-0.0409801372554945,0.2626749705233239
Liability-Assets Flag,8,0.12,0.0,0.0
Quick Assets/Total Assets,2,0.03,-0.205958368442767,0.988524898321785
Current Assets/Total Assets,0,0.0,-0.15146247798694346,1.1933585758852086
Cash Turnover Rate,0,0.0,-6764999999.999316,11274999999.99959
Operating Expense Rate,0,0.0,-6217499999.999608,10362499999.999763
Quick Asset Turnover Rate,0,0.0,-7349999999.999644,12249999999.999786
Net Income Flag,0,0.0,1.0,1.0
Inventory Turnover Rate (times),0,0.0,-6929999999.999568,11549999999.99974
